file_name,category,true_label,predicted_label,confidence,correct,samples_used,pages_processed
Westmoreland DV 1434_603 - 4.23.2025.pdf,reservs,1,1,1.0,True,3,2
Greene 677-726 - 4.23.2025.pdf,reservs,1,1,1.0,True,3,2
Brooke DB 75_88 - 4.23.2025.pdf,reservs,1,1,1.0,True,3,1
Washington Co PA Inst# 201031651.pdf,reservs,1,1,1.0,True,3,2
Guernsey OR 392_292 - 4.23.2025.pdf,reservs,1,1,1.0,True,3,2
Marshall Co WV DB 82_173.pdf,reservs,1,1,1.0,True,3,2
DB 347_434.pdf,reservs,1,1,1.0,True,3,1
Washington DB 475_646 - 4.23.2025.pdf,reservs,1,1,1.0,True,3,2
Greene DB 253_223 - 4.23.2025.pdf,reservs,1,1,1.0,True,3,1
OR 267_3245.pdf,reservs,1,1,1.0,True,3,2
DB 593_316.pdf,reservs,1,1,1.0,True,3,2
DB 800_131.pdf,reservs,1,1,1.0,True,3,1
Potter DB 234_1012.pdf,reservs,1,1,1.0,True,3,1
Washington Co PA DV 596_69.pdf,reservs,1,1,1.0,True,3,2
DB 605_186.pdf,reservs,1,1,1.0,True,3,2
Washington 201408321 - 4.23.2025.pdf,reservs,1,1,1.0,True,3,2
DB 557_938.pdf,reservs,1,1,1.0,True,3,2
Washington DBV 604 Page 286 - 4.23.2025.pdf,reservs,1,1,1.0,True,3,2
Harrison DV 202-635.pdf,reservs,1,1,1.0,True,3,5
DB 107_12.pdf,reservs,1,1,1.0,True,3,2
DV 192_87.pdf,reservs,1,1,1.0,True,3,1
DB 304_409.pdf,reservs,1,1,1.0,True,3,2
Allegheny DB 2470_179 - 4.23.2025.pdf,reservs,1,1,1.0,True,3,1
Indiana Co. PA DB 550_322.pdf,reservs,1,1,1.0,True,3,2
OR 267_4756.pdf,reservs,1,1,1.0,True,3,3
DB 257_85.pdf,reservs,1,1,1.0,True,3,2
Wetzel Co WV DB 312_378.pdf,reservs,1,1,1.0,True,3,2
Guernsey Co OH DV 145_283.pdf,reservs,1,1,1.0,True,3,2
Greene DB 280_311 - 4.23.2025.pdf,reservs,1,1,1.0,True,3,2
Westmoreland 753-247 - 4.23.2025.pdf,reservs,1,1,1.0,True,3,1
Washington DB 704_223.pdf,reservs,1,1,1.0,True,3,2
OR 133-299.pdf,reservs,1,1,1.0,True,3,2
Guernsey Co OH DV 118_352.pdf,reservs,1,0,1.0,False,3,1
Monroe Co OH DB 109_330.pdf,reservs,1,1,1.0,True,3,2
Armstrong DB 5269_327 - 4.23.2025.pdf,reservs,1,1,1.0,True,3,2
Marion Deed Book 280-449 - 4.23.2025.pdf,reservs,1,1,1.0,True,3,2
Brooke DB 74_249.pdf,reservs,1,1,1.0,True,3,1
DB 360_239.pdf,reservs,1,1,1.0,True,3,2
DB 536_306.pdf,reservs,1,1,1.0,True,3,4
Belmont Co OH DB 189_408.pdf,reservs,1,1,1.0,True,3,2
OR 133-302.pdf,reservs,1,1,1.0,True,3,3
Guernsey DB 290_74.pdf,no-reservs,0,0,1.0,True,3,1
Allegheny 8277_16 - 4.23.2025.pdf,no-reservs,0,0,1.0,True,12,4
OR 16_217.pdf,no-reservs,0,0,1.0,True,6,2
DV 192_833.pdf,no-reservs,0,0,1.0,True,18,6
Somerset DB 2570_102.pdf,no-reservs,0,0,1.0,True,24,8
Allegheny DB 92_389.pdf,no-reservs,0,0,1.0,True,12,4
Allegheny 3387-275 - 4.23.2025.pdf,no-reservs,0,1,1.0,False,3,2
Washington DB 405_547.pdf,no-reservs,0,0,1.0,True,9,3
Harrison DV 234_357.pdf,no-reservs,0,0,1.0,True,9,3
OR 272_5846.pdf,no-reservs,0,0,1.0,True,9,3
Washington DV 677_46.pdf,no-reservs,0,0,1.0,True,6,2
Brooke DB 176_514.pdf,no-reservs,0,1,1.0,False,3,3
OR 55_194.pdf,no-reservs,0,0,1.0,True,6,2
Westmoreland DV 2483_444.pdf,no-reservs,0,1,1.0,False,3,2
Carroll DB 130-50.pdf,no-reservs,0,0,1.0,True,3,1
Allegheny 1910-768.pdf,no-reservs,0,0,1.0,True,9,3
DV 217_352.pdf,no-reservs,0,1,1.0,False,3,1
Allegheny County DB 2759_637 - 4.23.2025.pdf,no-reservs,0,0,1.0,True,3,1
Somerset DB 1820_349.pdf,no-reservs,0,1,1.0,False,3,1
Tuscawaras DV 539_793.pdf,no-reservs,0,0,1.0,True,3,1
OR 568_1267.pdf,no-reservs,0,0,1.0,True,9,3
DB 110_36.pdf,no-reservs,0,0,1.0,True,3,1
Harrison DV 194_5.pdf,no-reservs,0,0,1.0,True,9,3
Somerset DB 2163_624.pdf,no-reservs,0,1,1.0,False,3,3
OR 55_190.pdf,no-reservs,0,0,1.0,True,6,2
Harrison DV 96_39.pdf,no-reservs,0,0,1.0,True,6,2
OR 137_1211.pdf,no-reservs,0,0,1.0,True,9,3
Jefferson DB 397_111.pdf,no-reservs,0,1,1.0,False,3,1
OR 1388_76.pdf,no-reservs,0,0,1.0,True,6,2
Greene OR 534_885 - 4.23.2025.pdf,no-reservs,0,0,1.0,True,18,6
DB 187-594.pdf,no-reservs,0,0,1.0,True,6,2
OR 267_4753.pdf,no-reservs,0,0,0.0,True,3,3
OR 11_761.pdf,no-reservs,0,0,1.0,True,0,3
Potter DB 197_879.pdf,no-reservs,0,0,1.0,True,0,2
OR 239_2451.pdf,no-reservs,0,0,1.0,True,0,9
Brooke DB 320_798 - 4.23.2025.pdf,no-reservs,0,0,1.0,True,0,4
OR 178_1073.pdf,no-reservs,0,0,1.0,True,0,5
Allegheny DB 41_66.pdf,no-reservs,0,0,1.0,True,0,2
DB 99-241.pdf,no-reservs,0,0,1.0,True,0,3
OR 274_678.pdf,no-reservs,0,0,1.0,True,3,6
OR 249_8.pdf,no-reservs,0,0,1.0,True,18,6
OR 601_3875.pdf,no-reservs,0,1,1.0,False,3,2
Butler DB 1895_80 - 4.23.2025.pdf,no-reservs,0,0,1.0,True,12,4
OR 178_693.pdf,no-reservs,0,0,1.0,True,9,3
DV 226_593.pdf,no-reservs,0,0,1.0,True,6,2
Allegheny 16920-254 - 4.23.2025.pdf,no-reservs,0,1,1.0,False,3,3
OR 276_4740.pdf,no-reservs,0,1,1.0,False,3,5
Washington DB 384_583.pdf,no-reservs,0,1,1.0,False,3,1
Allegheny DB 2759_637 - 4.23.2025.pdf,no-reservs,0,0,1.0,True,3,1
